run,model_name,C,class_weight,myval_f1_at_0_5,myval_best_f1,myval_best_threshold,myval_n,myval_pos_true,myval_pos_pred_at_0_5,myval_prob_mean,myval_prob_median,v4_cluster_f1_at_0_5,v4_cluster_best_f1,v4_cluster_best_threshold,v4_cluster_n,v4_cluster_pos_true,v4_cluster_pos_pred_at_0_5,v4_cluster_prob_mean,v4_cluster_prob_median,v4_top_f1_at_0_5,v4_top_best_f1,v4_top_best_threshold,v4_top_n,v4_top_pos_true,v4_top_pos_pred_at_0_5,v4_top_prob_mean,v4_top_prob_median,test_available_n,test_missing_filled_from_baseline,test_available_pos_pred_at_0_5,test_pos_pred_at_0_5,test_prob_mean,diff_vs_baseline,baseline_pos_to_neg,baseline_neg_to_pos
clip_balanced,vit_base_patch32_clip_224,3.0,balanced,0.6139817629179332,0.661498708010336,8.403522660943294e-05,332,146,183,0.5408263581748783,0.851737606198592,1.0,1.0,0.5,160,79,79,0.5014730786424513,0.355890567008685,1.0,1.0,0.5,160,80,80,0.5079503601754696,0.5741280089724246,176,18,102,110,0.5746439921447599,48,33,15
siglip_balanced,vit_base_patch16_siglip_224,10.0,balanced,0.6328358208955224,0.6628895184135978,0.0228655806102368,332,146,189,0.5662623870791785,0.959789303496898,1.0,1.0,0.5,160,79,79,0.4988250109531407,0.2202790377657165,1.0,1.0,0.5,160,80,80,0.5032056087764892,0.5811514849106263,176,18,95,103,0.5444758193401836,49,37,12
siglip_noweight,vit_base_patch16_siglip_224,10.0,none,0.6328358208955224,0.6628895184135978,0.0263856558305892,332,146,189,0.5666743766325814,0.9714420279424156,1.0,1.0,0.5,160,79,79,0.499071279418161,0.2325844805003289,1.0,1.0,0.5,160,80,80,0.5035471487316877,0.5917775914605139,176,18,95,103,0.5462953346487402,49,37,12
clip_balanced,vit_base_patch32_clip_224,10.0,balanced,0.6116207951070336,0.656084656084656,1.7451978514052792e-06,332,146,181,0.5376934686731848,0.9153317086158944,1.0,1.0,0.5,160,79,79,0.4966721641645953,0.1432005651650564,1.0,1.0,0.5,160,80,80,0.5031972318740325,0.5245675799862779,176,18,102,110,0.5751490101544848,54,36,18
siglip_balanced,vit_base_patch16_siglip_224,3.0,balanced,0.6369047619047619,0.6609195402298851,0.1118771554951914,332,146,190,0.5654784882559731,0.9189816057470692,0.9937106918238994,1.0,0.7340238438582268,160,79,80,0.5034839718658473,0.440267380068328,0.9937888198757764,1.0,0.8001986654270169,160,80,81,0.506972703933882,0.6610131414611531,176,18,95,103,0.5406874823777832,49,37,12
siglip_noweight,vit_base_patch16_siglip_224,3.0,none,0.6328358208955224,0.6609195402298851,0.1196593222952488,332,146,189,0.5672494306887255,0.9260853879981196,0.9937106918238994,1.0,0.7490966422598647,160,79,80,0.5050687463679159,0.4757439203479745,0.9937888198757764,1.0,0.8104759279646336,160,80,81,0.5077235278486013,0.6888288459546826,176,18,95,103,0.5442295341005002,49,37,12
siglip_noweight,vit_base_patch16_siglip_224,1.0,none,0.6548672566371682,0.6609686609686609,0.141248871459542,332,146,193,0.5681855505618597,0.8725324767954854,0.9813664596273292,0.9937106918238994,0.6170784115570621,160,79,82,0.5136330158995184,0.6140981488734757,0.9937888198757764,0.9937888198757764,0.5,160,80,81,0.5128688499925337,0.804596173821422,176,18,97,105,0.5431569608532244,45,34,11
siglip_balanced,vit_base_patch16_siglip_224,1.0,balanced,0.6548672566371682,0.6609686609686609,0.1283418691602508,332,146,193,0.5653878792712252,0.8642384847634248,0.9813664596273292,0.9937106918238994,0.5822751679560922,160,79,82,0.5101549379688393,0.5750523199541867,0.9937888198757764,0.9937888198757764,0.5,160,80,81,0.5115715095870301,0.7786594864731567,176,18,95,103,0.5387100167061815,47,36,11
clip_balanced,vit_base_patch32_clip_224,1.0,balanced,0.6073619631901841,0.6735751295336787,0.0018867251036959,332,146,180,0.5392601268790979,0.7775370608770888,0.981132075471698,0.9936305732484076,0.5669057360785428,160,79,80,0.5055566032017651,0.479749250092101,0.9876543209876544,0.9937888198757764,0.6226093366575003,160,80,82,0.5133518252914089,0.6245164932139575,176,18,102,110,0.5769779018017828,48,33,15
siglip_balanced,vit_base_patch16_siglip_224,0.3,balanced,0.6468842729970327,0.6574585635359116,0.1344569779033458,332,146,191,0.558767549827239,0.7929563290564332,0.9565217391304348,0.9625,0.6905562248305985,160,79,82,0.5177951861798793,0.699872960381251,0.98159509202454,0.9876543209876544,0.6571366264646022,160,80,83,0.5156060315445483,0.7944096861338521,176,18,95,103,0.533393156377148,49,37,12
