cluster,total,test_count,train_count,myval_count,mytest_count,pos_count,neg_count,mean_topk,test_fraction
15,411,26,252,21,112,91,294,0.5799723,0.06326034063260341
22,270,11,152,18,89,97,162,0.47911525,0.040740740740740744
16,311,12,204,8,87,120,179,0.512107,0.03858520900321544
1,291,10,140,11,130,178,103,0.5776423,0.03436426116838488
8,246,8,177,12,49,107,131,0.4468788,0.032520325203252036
2,363,11,157,18,177,159,193,0.52313477,0.030303030303030304
11,276,6,162,24,84,77,193,0.4316171,0.021739130434782608
5,524,11,276,20,217,359,154,0.7543653,0.02099236641221374
19,689,12,490,19,168,527,150,0.74327004,0.01741654571843251
12,348,6,214,15,113,193,149,0.49672073,0.017241379310344827
23,557,9,243,5,300,98,450,0.56188107,0.01615798922800718
3,499,8,252,17,222,105,386,0.5762979,0.01603206412825651
6,630,9,305,18,298,384,237,0.692587,0.014285714285714285
13,285,4,146,9,126,138,143,0.42117986,0.014035087719298246
20,357,5,200,12,140,215,137,0.5197107,0.014005602240896359
7,365,5,173,13,174,120,240,0.4575242,0.0136986301369863
21,321,4,192,15,110,211,106,0.5520751,0.012461059190031152
10,367,4,182,19,162,206,157,0.5830108,0.010899182561307902
14,299,3,93,11,192,107,189,0.4121746,0.010033444816053512
0,314,3,211,4,96,124,187,0.38980225,0.009554140127388535
9,319,3,55,2,259,41,275,0.40736687,0.009404388714733543
17,443,3,161,13,266,182,258,0.45061517,0.006772009029345372
18,355,2,176,20,157,131,222,0.43230927,0.005633802816901409
4,403,1,167,8,227,104,298,0.44007313,0.0024813895781637717
