cluster,total,test_count,train_count,myval_count,mytest_count,pos_count,neg_count,mean_topk,test_fraction
14,295,22,219,54,0,107,166,0.4104187,0.07457627118644068
8,340,21,300,19,0,225,94,0.47608325,0.061764705882352944
15,356,17,304,35,0,277,62,0.45773807,0.047752808988764044
12,361,15,334,12,0,18,328,0.45263726,0.04155124653739612
1,297,12,231,54,0,192,93,0.45092928,0.04040404040404041
2,278,11,256,11,0,19,248,0.44130036,0.039568345323741004
0,441,17,405,19,0,400,24,0.5066087,0.03854875283446712
4,404,14,370,20,0,361,29,0.4152461,0.034653465346534656
5,277,9,252,16,0,147,121,0.45641714,0.032490974729241874
11,398,12,364,22,0,63,323,0.45295984,0.03015075376884422
7,237,7,209,21,0,199,31,0.39614946,0.029535864978902954
3,393,7,364,22,0,54,332,0.37837172,0.017811704834605598
13,405,6,379,20,0,364,35,0.4141029,0.014814814814814815
10,302,4,293,5,0,268,30,0.3429384,0.013245033112582781
6,318,2,314,2,0,2,314,0.34160572,0.006289308176100629
9,186,0,186,0,0,7,179,0.31097183,0.0
