cluster,total,test_count,train_count,myval_count,mytest_count,pos_count,neg_count,mean_topk,test_fraction
3,18,14,0,4,0,3,1,0.62363166,0.7777777777777778
13,26,16,0,10,0,1,9,0.5700892,0.6153846153846154
0,44,24,0,20,0,10,10,0.51887244,0.5454545454545454
7,22,11,0,11,0,1,10,0.5038488,0.5
5,36,17,0,19,0,15,4,0.55207497,0.4722222222222222
9,33,13,0,20,0,12,8,0.4059009,0.3939393939393939
12,34,13,0,21,0,16,5,0.4793963,0.38235294117647056
6,61,20,0,41,0,14,27,0.55380625,0.32786885245901637
15,21,6,0,15,0,9,6,0.4002362,0.2857142857142857
8,14,4,0,10,0,2,8,0.46821997,0.2857142857142857
10,23,6,0,17,0,14,3,0.40835562,0.2608695652173913
1,28,7,0,21,0,8,13,0.42249033,0.25
14,45,11,0,34,0,13,21,0.46416396,0.24444444444444444
2,34,7,0,27,0,11,16,0.42801574,0.20588235294117646
11,28,5,0,23,0,15,8,0.41667157,0.17857142857142858
4,41,2,0,39,0,2,37,0.3931534,0.04878048780487805
